Sample_ref	Plant_genotype	Plant_line	Time	Tube	b-Glucose	a-Glucose	Sucrose	Alanine	Glutamate	Glutamine	Threonine	Valine	Arginine	Lysine	Formic acid	Acetic acid	Fumaric acid	Adenine	Choline	Ethanol & Ethyl - b - glucoside	Verbascoside	Aucubin	Catalpol
Plantago_Juhis_490-551.522.fid	L4	L	4	522	0,035490183	0,03135081	0,033030527	0,008747261	0,025411601	0,001520606	0,016722395	0,002624275	0,014447478	0,018479518	0,000178012	0,002114437	0,002173598	4,70657E-05	0,020223303	0,007527351	0,071536585	0,043612319	0,043925953
Plantago_Juhis_490-551.523.fid	L4	L	6	523	0,019431377	0,021330099	0,032094796	0,005497451	0,036353331	0,004965288	0,013453678	0,003422502	0,010940965	0,014689886	0,00016122	0,000160802	0,001558685	6,90475E-05	0,018155557	0,00860219	0,073977137	0,041805379	0,03915039
Plantago_Juhis_490-551.524.fid	L4	L	9	524	0,011500617	0,017550966	0,022554871	0,006929305	0,033679066	0,004669975	0,010861967	0,001300082	0,014765447	0,018122209	7,55179E-05	0,002819475	0,002740478	6,32776E-06	0,022909645	0,007553637	0,074203316	0,070539115	0,057277983
Plantago_Juhis_490-551.525.fid	L4	L	12	525	0,006772836	0,015707165	0,02021438	0,012157019	0,041025913	0,007926626	0,01251129	0,003157598	0,016002093	0,020650438	-1,46266E-05	0,001685569	0,008941524	0,000158829	0,022060225	0,009735226	0,073459272	0,046643374	0,046450611
Plantago_Juhis_490-551.526.fid	L4	L	15	526	0,043781409	0,032786716	0,020575474	0,009183361	0,028821026	0,002096113	0,009594691	0,00593765	0,017775402	0,02195686	0,000446916	0,004008906	0,009518293	3,07604E-05	0,020226563	0,007199028	0,079680569	0,025847744	0,030811725
Plantago_Juhis_490-551.527.fid	L4	L	18	527	0,041319469	0,031412969	0,032974322	0,0122697	0,031343051	0,004657914	0,012061878	0,004484306	0,014839824	0,017885581	0,000532897	0,006013977	0,009829412	7,05553E-06	0,024608765	0,00812712	0,065870797	0,01874569	0,029540158
Plantago_Juhis_490-551.528.fid	L4	L	21	528	0,027847751	0,023418753	0,0236015	0,010663299	0,030017111	0,002807807	0,00774084	0,001601357	0,010418951	0,012614799	0,000299708	0,002267572	0,006515883	3,707E-05	0,020408137	0,00325623	0,091113119	0,019692272	0,035388869
Plantago_Juhis_490-551.529.fid	L4	L	24	529	0,076642913	0,049012844	0,021621644	0,005023818	0,043323071	0,005470214	0,010490589	0,003148558	0,011027151	0,016304194	0,000844385	0,002188553	0,002548038	4,15375E-05	0,01890193	0,00901518	0,065555013	0,014050811	0,018637016
Plantago_Juhis_490-551.530.fid	L4	L	27	530	0,04638466	0,028937442	0,020604496	0,002910708	0,020921806	0,000463395	0,006752622	0,00115988	0,010361602	0,012695109	0,000409421	0,001157587	0,00053166	7,05673E-05	0,017565995	0,003188044	0,118727066	0,026253491	0,046508776
Plantago_Juhis_490-551.531.fid	L6	L	1	531	0,020726368	0,022818411	0,02687832	0,007725761	0,030838956	0,004060247	0,015218345	0,002127861	0,024846503	0,028733253	0,000205718	0,009282324	0,000818929	6,75518E-05	0,02847462	0,004750569	0,033436814	0,040978517	0,031542282
Plantago_Juhis_490-551.532.fid	L6	L	4	532	0,028126493	0,026891693	0,035294065	0,015080568	0,016937673	0,000153173	0,017740948	0,00544	0,014720827	0,018725123	0,000110483	0,002177537	0,0056802	0,000119552	0,019800571	0,008122787	0,053200335	0,051162398	0,017285199
Plantago_Juhis_490-551.533.fid	L6	L	6	533	0,013762363	0,016375446	0,026164917	0,008558055	0,029654205	0,003315772	0,011753785	0,00377433	0,038610086	0,043255597	6,08463E-05	0,01685197	0,002758961	0,000130227	0,032084046	0,007359218	0,049125513	0,031499818	0,028631049
Plantago_Juhis_490-551.534.fid	L6	L	9	534	0,018594997	0,01444881	0,026244832	0,00809374	0,024271055	0,001510866	0,006895064	0,002312726	0,035854774	0,039013627	0,000271774	0,016006704	0,000358758	3,95713E-05	0,031904543	0,001750306	0,058726321	0,043029864	0,052161215
Plantago_Juhis_490-551.535.fid	L6	L	12	535	0,009682723	0,009328805	0,019251314	0,009518392	0,026895553	0,003202914	0,0103311	0,003667287	0,035741331	0,039128142	7,72953E-05	0,016891831	0,002995454	6,30557E-05	0,031018245	0,003955034	0,05230791	0,013483266	0,037921729
Plantago_Juhis_490-551.536.fid	L6	L	15	536	0,038268181	0,025831268	0,020544856	0,007819159	0,009481297	0,000324735	0,00889739	0,003642776	0,026718543	0,029988121	0,000659975	0,01318261	0,000793099	0,000269999	0,025498867	0,001651659	0,02691832	0,005853653	0,007340969
Plantago_Juhis_490-551.537.fid	L6	L	18	537	0,058515528	0,036473303	0,021794148	0,013583232	0,012545576	0,000944456	0,010470709	0,001169285	0,008453531	0,012294478	0,000953244	0,002929858	0,004031474	0,000192908	0,019610518	0,004319562	0,017311821	0,003607756	0,005031731
Plantago_Juhis_490-551.538.fid	L6	L	21	538	0,062377442	0,038982382	0,023451366	0,008984386	0,016680936	0,000907522	0,005736553	0,001442016	0,00283316	0,003558322	0,000881903	0,004858142	0,01027543	0,000274553	0,022421721	0,001122485	0,02606584	0,008324699	0,025399514
Plantago_Juhis_490-551.539.fid	L6	L	24	539	0,053368772	0,033135065	0,019122657	0,00352328	0,011509617	0,00125346	0,004022946	0,00114254	0,001823686	0,002497904	0,000771692	0,003703825	0,009111962	0,000273129	0,021632525	-0,000750425	0,007052757	0,001171619	0,006979468
Plantago_Juhis_490-551.540.fid	L6	L	27	540	0,056609133	0,035107703	0,020166541	0,003492452	0,011291139	0,001104166	0,004070763	0,000852729	0,001907495	0,002683465	0,000704597	0,003653237	0,009177365	0,000266505	0,020906634	-0,00027847	0,006281913	0,001064032	0,006560347
Plantago_Juhis_490-551.541.fid	L6	L	28	541	0,068493041	0,042803596	0,021121065	0,002982461	0,012965437	0,000895732	0,00493961	0,001618772	0,004101064	0,005514984	0,000586382	0,002951466	0,009442089	0,000145683	0,017042251	0,000144754	0,05729661	0,010290087	0,022587053
Plantago_Juhis_490-551.542.fid	L7	L	1	542	0,035501627	0,021105191	0,020653879	0,004166189	0,023034159	0,000355863	0,011284324	0,004015473	0,002933358	0,004848713	0,000628189	0,001491922	0,002043188	1,63583E-05	0,017186328	0,00143708	0,066213126	0,015890149	0,008284007
Plantago_Juhis_490-551.545.fid	L7	L	4	543	0,019565603	0,010661021	0,019875474	0,007464895	0,023604034	0,001737546	0,005393709	0,001390778	0,005028799	0,005769166	8,21418E-05	0,001328061	0,000512895	2,49018E-05	0,019673342	0,000315338	0,103857559	0,07058087	0,063461552
Plantago_Juhis_490-551.543.fid	L7	L	4	543	0,047733813	0,028222607	0,032660556	0,011145545	0,029492045	0,002207623	0,012283688	0,003811248	0,00768961	0,009567792	0,000554912	0,005739146	0,001313026	8,82305E-05	0,021848783	0,004683861	0,048756848	0,019528016	0,021937535
Plantago_Juhis_490-551.544.fid	L7	L	6	544	0,012721466	0,01189727	0,022883208	0,005738281	0,035515476	0,005156966	0,011031777	0,002961609	0,008875445	0,01296876	0,000140028	3,87381E-06	0,003034344	0,000115884	0,019124184	0,003840474	0,067358648	0,035859952	0,026181991
Plantago_Juhis_490-551.546.fid	L7	L	12	546	0,020511227	0,011609208	0,020259479	0,009519074	0,032313994	0,0020908	0,00643433	0,000924512	0,005358292	0,006662615	0,000322828	0,003362725	0,0039095	0,000175891	0,020040222	-0,003292855	0,058328715	0,02850909	0,032289771
Plantago_Juhis_490-551.547.fid	L7	L	15	547	0,014387576	0,008608775	0,019090796	0,009174536	0,028317963	0,001613956	0,006602623	0,004448352	0,01564243	0,016351803	-4,66376E-05	0,007357508	0,001946618	7,20341E-05	0,027065247	0,002034655	0,073425396	0,026014706	0,047540645
Plantago_Juhis_490-551.548.fid	L7	L	18	548	0,036799729	0,022429397	0,02519283	0,014884872	0,030394783	0,002100295	0,007436072	0,001507267	0,011221552	0,013722865	0,000591386	0,004679937	0,003551921	0,000212487	0,021425552	0,001763322	0,043395859	0,006749575	0,030184686
Plantago_Juhis_490-551.549.fid	L7	L	21	549	0,019185565	0,010387376	0,026676214	0,008379205	0,027171182	0,001819646	0,005661251	0,006107531	0,010827824	0,012528054	0,00014588	0,004148573	0,003667131	6,5546E-06	0,023755469	0,001881068	0,06952891	0,024501304	0,054244503
Plantago_Juhis_490-551.550.fid	L7	L	24	550	0,06193902	0,036650808	0,022996449	0,005173087	0,016420025	0,000559058	0,004674108	0,00133393	0,002654332	0,004578555	0,00075253	0,005125466	0,002906378	0,00017204	0,020693591	0,001185492	0,053401385	0,012168427	0,02180956
Plantago_Juhis_490-551.551.fid	L7	L	27	551	0,020652477	0,010888934	0,0214724	0,003772583	0,02005552	0,002338989	0,004202094	0,001495136	0,008342135	0,008789088	4,07411E-05	0,003089541	0,004009963	0,000103057	0,020848105	-0,00157155	0,057345357	0,009613626	0,063959774
